-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         SliceBackward0         0.00%     744.000us         0.10%      16.658ms      83.290us       0.000us         0.00%       8.435ms      42.175us           0 b           0 b       2.34 Gb           0 b           200  
                                   aten::slice_backward         0.01%       1.954ms         0.10%      15.914ms      79.570us       0.000us         0.00%       8.435ms      42.175us           0 b           0 b       2.34 Gb           0 b           200  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.251ms         0.06%       8.251ms       1.375us           0 b           0 b           0 b           0 b          6000  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.756ms         0.05%       7.756ms       1.492us           0 b           0 b           0 b           0 b          5200  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.503ms         0.05%       7.503ms       1.443us           0 b           0 b           0 b           0 b          5200  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.500ms         0.05%       7.500ms       1.429us           0 b           0 b           0 b           0 b          5250  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us       7.004ms         0.05%       7.004ms      63.099us           0 b           0 b           0 b           0 b           111  
                                   cudaFuncSetAttribute         0.01%       1.640ms         0.01%       1.640ms       1.367us       6.987ms         0.05%       6.987ms       5.822us           0 b           0 b           0 b           0 b          1200  
void at::native::(anonymous namespace)::compute_grad...         0.00%       0.000us         0.00%       0.000us       0.000us       6.968ms         0.05%       6.968ms      34.840us           0 b           0 b           0 b           0 b           200  
                                       aten::is_nonzero         3.65%     594.741ms        50.84%        8.279s      13.799ms       0.000us         0.00%       6.605ms      11.008us           0 b           0 b           0 b           0 b           600  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         3.99%     648.924ms         4.22%     687.974ms       3.423ms       0.000us         0.00%       6.296ms      31.323us           0 b     -25.46 Mb           0 b           0 b           201  
                                       aten::pin_memory         0.01%       1.359ms         0.06%       9.618ms      15.950us       0.000us         0.00%       6.296ms      10.441us           0 b           0 b           0 b           0 b           603  
                                        aten::is_pinned         0.03%       4.868ms         0.03%       5.362ms       8.892us       0.000us         0.00%       6.296ms      10.441us           0 b           0 b           0 b           0 b           603  
                               cudaPointerGetAttributes         0.00%     494.000us         0.00%     494.000us       0.819us       6.296ms         0.04%       6.296ms      10.441us           0 b           0 b           0 b           0 b           603  
                                 cudaDeviceGetAttribute         0.00%     169.000us         0.00%     169.000us       0.169us       5.709ms         0.04%       5.709ms       5.709us           0 b           0 b           0 b           0 b          1000  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.597ms         0.04%       5.597ms       3.500us           0 b           0 b           0 b           0 b          1599  
                             aten::_linalg_check_errors         0.00%     124.000us         0.02%       2.586ms      64.650us       0.000us         0.00%       5.415ms     135.375us           0 b           0 b       7.50 Kb     -10.50 Kb            40  
                                  reduction_prod_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.870ms         0.03%       4.870ms       2.435us           0 b           0 b           0 b           0 b          2000  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.723ms         0.03%       4.723ms       2.361us           0 b           0 b           0 b           0 b          2000  
void at::native::(anonymous namespace)::sum_and_scat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.361ms         0.03%       4.361ms      21.805us           0 b           0 b           0 b           0 b           200  
      autograd::engine::evaluate_function: DivBackward0         0.03%       5.427ms         0.14%      23.324ms      58.310us       0.000us         0.00%       4.243ms      10.607us      -3.12 Kb      -3.12 Kb     100.00 Kb    -100.00 Kb           400  
                                           DivBackward0         0.01%       2.271ms         0.11%      17.897ms      44.742us       0.000us         0.00%       4.243ms      10.607us           0 b           0 b     200.00 Kb           0 b           400  
                                             cudaMalloc         0.11%      17.358ms         0.11%      17.358ms     141.122us       4.176ms         0.03%       4.176ms      33.951us           0 b           0 b           0 b           0 b           123  
                                           aten::arange         0.02%       2.926ms         0.09%      14.635ms      36.587us     200.000us         0.00%       4.156ms      10.390us           0 b           0 b      12.50 Mb      96.00 Kb           400  
void recursive_gemv_truncated_uptate<float, 16>(int,...         0.00%       0.000us         0.00%       0.000us       0.000us       3.901ms         0.03%       3.901ms       7.771us           0 b           0 b           0 b           0 b           502  
      autograd::engine::evaluate_function: AddBackward0         0.13%      21.256ms         0.19%      31.309ms      12.042us       0.000us         0.00%       3.774ms       1.452us           0 b           0 b      75.00 Mb           0 b          2600  
autograd::engine::evaluate_function: SelectBackward0...         0.01%       2.309ms         0.13%      20.503ms     102.515us       0.000us         0.00%       3.693ms      18.465us           0 b           0 b       2.33 Gb     -18.75 Mb           200  
                                        SelectBackward0         0.00%     528.000us         0.11%      18.194ms      90.970us       0.000us         0.00%       3.693ms      18.465us           0 b           0 b       2.34 Gb           0 b           200  
                                  aten::select_backward         0.01%       2.315ms         0.11%      17.666ms      88.330us       0.000us         0.00%       3.693ms      18.465us           0 b           0 b       2.34 Gb           0 b           200  
                                               aten::eq         0.07%      10.828ms         0.08%      13.335ms      33.337us     607.000us         0.00%       3.668ms       9.170us           0 b           0 b     898.00 Kb     898.00 Kb           400  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.555ms         0.02%       3.555ms       1.111us           0 b           0 b           0 b           0 b          3200  
void larft_T_64_batch<float>(int, float*, int, float...         0.00%       0.000us         0.00%       0.000us       0.000us       3.465ms         0.02%       3.465ms      15.000us           0 b           0 b           0 b           0 b           231  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.069ms         0.02%       3.069ms       5.193us           0 b           0 b           0 b           0 b           591  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       3.059ms         0.02%       3.059ms       1.009us           0 b           0 b           0 b           0 b          3031  
     autograd::engine::evaluate_function: ReluBackward0         0.02%       2.921ms         0.07%      11.224ms      56.120us       0.000us         0.00%       3.048ms      15.240us           0 b           0 b     -18.75 Mb     -37.50 Mb           200  
