-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::sub         0.01%       1.004ms         0.01%       1.475ms      30.110us     348.190us         0.00%     348.190us       7.106us           0 B           0 B      98.00 MB      98.00 MB            49  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     348.190us         0.00%     348.190us       7.106us           0 B           0 B           0 B           0 B            49  
                                Activity Buffer Request         0.10%      15.653ms         0.10%      15.653ms       1.957ms     339.578us         0.00%     339.578us      42.447us           0 B           0 B           0 B           0 B             8  
                               aten::cross_entropy_loss         0.00%     405.154us         0.03%       4.667ms      93.332us       0.000us         0.00%     328.186us       6.564us           0 B           0 B      75.00 KB           0 B            50  
void at::native::lpnorm_cleanup<float, (at::native::...         0.00%       0.000us         0.00%       0.000us       0.000us     325.114us         0.00%     325.114us       6.502us           0 B           0 B           0 B           0 B            50  
                                     aten::masked_fill_         0.00%     508.267us         0.01%     964.029us      19.674us     311.262us         0.00%     311.262us       6.352us           0 B           0 B           0 B           0 B            49  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     311.262us         0.00%     311.262us       6.352us           0 B           0 B           0 B           0 B            49  
void at_cuda_detail::cub::DeviceUniqueByKeySweepKern...         0.00%       0.000us         0.00%       0.000us       0.000us     293.724us         0.00%     293.724us       5.874us           0 B           0 B           0 B           0 B            50  
                                              aten::all         0.01%       1.158ms         0.01%       1.727ms      34.533us     284.797us         0.00%     284.797us       5.696us           0 B           0 B      25.00 KB      25.00 KB            50  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     284.797us         0.00%     284.797us       5.696us           0 B           0 B           0 B           0 B            50  
                                              aten::abs         0.02%       2.920ms         0.19%      29.814ms     298.136us     123.038us         0.00%     260.092us       2.601us           0 B           0 B      50.00 KB           0 B           100  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     256.411us         0.00%     256.411us       5.128us           0 B           0 B           0 B           0 B            50  
                                            aten::isinf         0.01%     817.371us         0.13%      20.071ms     401.426us       0.000us         0.00%     248.060us       4.961us           0 B           0 B      25.00 KB     -25.00 KB            50  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     246.491us         0.00%     246.491us       2.465us           0 B           0 B           0 B           0 B           100  
                                               aten::eq         0.03%       4.602ms         0.04%       5.800ms      58.001us     239.005us         0.00%     241.149us       2.411us           0 B           0 B     225.00 KB     225.00 KB           100  
void at_cuda_detail::cub::DeviceScanKernel<at_cuda_d...         0.00%       0.000us         0.00%       0.000us       0.000us     239.421us         0.00%     239.421us       4.788us           0 B           0 B           0 B           0 B            50  
